_2_idInfo_aimag_,_3_idInfo_soum_,_4_idInfo_bagCode_,_cov23coun,_cov23mean,_cov23medi,_cov23stde,_cov19mean,_cov19medi,_cov19stde,cov_chng_19_23
Dundgobi,Deren,Bag 1,3180513,65.4301271,65.44690704,4.684771764,69.53983611,70.1037674,3.331865276,-5
Dundgobi,Deren,Bag 2,3086875,68.19091189,68.30726624,4.428398405,71.48227943,71.54873657,3.181031351,-3
Dundgobi,Deren,Bag 3,3166147,67.38299158,67.51491547,4.61612257,73.00438121,72.73107147,3.571008825,-5
Dundgobi,Deren,Bag 4,2569107,68.19773369,69.26797485,4.935271807,72.17252718,72.39862061,3.388672447,-4
Dundgobi,Erdenedalai,Bag 1,3499594,65.83612117,65.86354828,4.20530089,64.08207463,63.79318237,3.327538184,2
Dundgobi,Erdenedalai,Bag 2,4060493,61.46828266,61.39772415,5.238380077,65.52233871,65.89637756,4.874417781,-4
Dundgobi,Erdenedalai,Bag 3,2877558,64.35679889,64.2288208,4.984169974,71.19466739,70.82945251,3.738978116,-6
Dundgobi,Erdenedalai,Bag 4,5444114,61.80376046,61.22719193,4.985203185,72.40977897,72.08449173,4.285789402,-10
Dundgobi,Erdenedalai,Bag 5,5199408,61.93714414,61.2754631,4.808141151,63.59240277,63.31354904,4.092085177,-1
Dundgobi,Erdenedalai,Bag 6,4915992,62.77813209,63.21092033,4.597904065,66.97746736,66.77457428,4.097969294,-4
Dundgobi,Erdenedalai,Bag 7,162145,60.21091386,59.13856125,4.270035071,65.40029467,65.46139526,3.73827361,-5
Gobisumber,Bayantal,Bag 1,1876605,74.20631222,73.86682129,2.919432208,78.83677586,79.30147552,3.258034728,-5
Gobisumber,Bayantal,Bag 2,1356074,74.13488495,73.63967133,2.593016802,78.86856743,79.30606461,3.174785096,-5
Gobisumber,Sumber,Bag 1,145302,63.59793278,63.15504265,4.497256787,67.79314488,66.66788483,3.515094059,-3
Gobisumber,Sumber,Bag 2,22321,64.21431238,64.0004425,4.684481485,67.07337629,66.32321167,3.574659771,-2
Gobisumber,Sumber,Bag 3,84672,63.92480293,63.16114998,4.46525944,68.75287747,68.96781921,3.897415369,-5
Gobisumber,Sumber,Bag 4,4048156,66.00366573,67.19333649,6.498411155,70.82676062,71.98008347,5.25481449,-6
Gobisumber,Sumber,Bag 5,3619781,69.10599654,70.00447083,5.24358288,74.73374382,74.06351471,4.706160387,-5
Gobisumber,Sumber,Bag 6,4086276,76.19152667,75.80934143,3.393485903,80.95896458,81.64370728,2.785510171,-5
Tuv,Bayan,Bag 1,2729051,73.29727257,73.53239441,3.973291359,79.16753408,79.68335724,3.85964612,-6
Tuv,Bayan,Bag 2,4700444,73.39609871,73.52767181,3.23067069,76.64291938,76.07093811,3.702157592,-3
Tuv,Bayan,Bag 3,3146155,74.06521031,74.33024597,3.426703176,79.93832537,80.84597015,3.845726193,-7
Tuv,Bayantsagaan,Bag 1,5186095,72.10389958,72.09622192,4.700483701,77.52122128,77.46595764,4.607379239,-5
Tuv,Bayantsagaan,Bag 2,2908919,74.79249178,75.79370117,4.208709387,78.91166944,79.26656342,3.612786248,-4
Tuv,Bayantsagaan,Bag 3,7089041,72.85434239,73.3265686,4.191487271,73.80467918,73.70787048,3.421911647,-1
Tuv,Bayantsagaan,Bag 4,6213960,70.29538735,70.43688202,4.975666967,74.43209768,74.45026398,4.424894145,-4
Tuv,Bayantsagaan,Bag 5,55815,70.24125286,69.19644928,6.277162906,75.43502119,74.53147125,4.468137143,-4
Tuv,Buren,Bag 1,715862,68.44980532,69.2376709,6.024155999,76.93028968,79.92401123,8.131841261,-11
Tuv,Buren,Bag 2,1889802,72.04355633,71.81227112,4.211451465,79.66774044,80.72756195,4.016031138,-9
Tuv,Buren,Bag 3,3401532,71.62217199,71.49321365,4.649547853,80.65018022,82.59449005,3.945613518,-11
Tuv,Buren,Bag 4,3456665,72.67325783,72.38121033,5.057384147,81.07990494,82.83151245,3.747607514,-10
Tuv,Buren,Bag 5,3464699,68.79152441,68.64955139,4.165960834,76.24769756,75.4276886,4.511542515,-7
Tuv,Delgerkhaan,Bag 1,1940066,70.38628458,70.55647659,5.205369501,75.49024046,75.02080154,4.142011502,-5
Tuv,Delgerkhaan,Bag 2,1573321,68.43975387,67.97322845,5.91020641,74.42472982,74.12090302,4.49837828,-6
